Bölüm;Kaynak;Kod;Türkçe düz metin
Modal;AnlaticiSeritKopru.cs;PRE_A1;"Hoş geldiniz. Bu simülasyonda online kumar oyunlarının oyuncuları nasıl etkilediğini birlikte göreceğiz.

Önce oyunu tanıyalım:
• Ekranda 6×5'lik meyve makinesi var. SPIN tuşuna basıldığında meyveler döner.
• Aynı meyveden 8 veya daha fazlası bir araya gelirse kazanç verir.
• Bazı turlarda ÇARPAN düşer (×2, ×5, ×100 vs.) ve kazancı katlar.
• Kazanan meyveler patlar, üstten yenileri düşer (TUMBLE); zincir kazançlar olur.
• 4 Bonus Sembolü (yıldız) gelirse BONUS oyun açılır.

Ekrandaki diğer öğeler:
• Sol panel: Oyuncunun hangi aşamada olduğunu, sahne arkasında ne yaşandığını gösterir; birlikte buradan takip edeceğiz.
• Bakiye: Oyuna ayrılan para (oyuncu 50.000 TL ile başlıyor).
• Bahis: Her spinde harcanacak miktar, + ve − tuşlarıyla değişir.
• KAZANÇ: O spinde kazanılan miktar.

Hadi başlayalım: ilk aşama 'Isındırma ve Umut'."
Modal;AnlaticiSeritKopru.cs;GECIS_A1_A2;"Birinci aşama tamamlandı. Oyuncu şu an artıda, kendini iyi hissediyor.

Sırada 'Kontrol Bende Hissi' aşaması var. Bu aşamada algoritma oyuncuya üst üste kayıplar yaşatacak. Ama yine de bakiye hâlâ pozitif olduğu için oyuncu 'kontrol bende, istediğim zaman çıkarım, bahis değişiklikleriyle kazanırım' gibi düşünceler yaşar.

Bu yanılsamayı birlikte göreceğiz."
Modal;AnlaticiSeritKopru.cs;GECIS_A2_A3;"İkinci aşama tamamlandı. Oyuncu şu an küçük kayıplar yaşadı ama hâlâ artıda; 'kontrol bende' hissi iyice yerleşti.

Sırada 'Kaybettiklerimi Geri Kazanabilirim' aşaması var. Sistem bu aşamada oyuncuya bilerek kayıp yaşatacak. Oyuncu artık kazanç peşinde değil; 'kaybettiklerimi kurtarayım yeter' gibi düşünmeye başlayacak. Bu 'Kayıp Kovalama' denilen psikolojik tuzaktır — bir kez girilirse çıkmak çok zor.

Birlikte göreceğiz."
Modal;AnlaticiSeritKopru.cs;GECIS_A3_A4;"Üçüncü aşamayı gördük: kayıp kovalama tuzağı. Oyuncu bahsi yükselterek kurtulmaya çalıştı, daha çok kaybetti.

Sırada 'Şansım Döndü' aşaması var. Bu aşamada algoritma oyuncuyu pes etme eşiğine getirecek; üst üste sert kayıplar. Tam pes etmek üzereyken büyük bir kazanç düşürecek. Bu büyük kazanç tesadüf değil, kasıtlı bir manipülasyon vuruşu olacak.

Amaç: oyuncuyu tekrar oyuna bağlamak."
Modal;AnlaticiSeritKopru.cs;GECIS_A4_A5;"Büyük kazanç yaşandı. Oyuncu şu an 'şansım döndü, daha kazanırım' hissinde. İşte tam bu duygu, sıradaki aşamanın yakıtıdır.

Sırada 'Sonunu Düşünen Kahraman Olamaz' aşaması var. Bu aşamada algoritma oyuncuya cazip bir 'bonus oyun tuzağı' kuracak: tüm bakiyesini yatırma karşılığında büyük kazanç vaat edilecek. Yatırırsa, çok azını geri alacak.

Bu, sömürünün doruk noktasıdır. Birlikte göreceğiz."
Modal;AnlaticiSeritKopru.cs;BORC_SONRASI_1;"İşte oyuncu borç aldı, bakiyesi yenilendi. Şimdi tekrar oynamaya devam edecek.

Kumar sitelerinde yeniden bakiye yükleyenlere bilinçli olarak ilk başlarda yine kazandırılır — bu 'Isındırma ve Umut' aşamasına benzer.

Bu sayede oyuncu tekrar döngüye girer: 'şansım yine açıldı, kayıplarımı telafi ederim' düşünür. Ama er ya da geç sistem kazanır, oyuncu kaybeder.

Şimdi bu döngüyü hızlıca göreceğiz."
Modal;AnlaticiSeritKopru.cs;BORC_SONRASI_2;"Bu kez oyuncu kayıplarını HIZLI telafi etmek istiyor. Bahsini 10.000 TL'ye çıkardı.

Sadece 5 spin yetecek; algoritma sömürünün son evresinde tüm bakiyeyi alacak. Bu hızlı bitiş, gerçek hayattaki 'son kez deneme' bahanesinin sonucudur."
Modal;AnlaticiSeritKopru.cs;A4_S1_YILDIZ;Üç yıldız (bonus sembolü) yine düştü, dördüncüsü düşmedi. Oyuncu peş peşe bu sahneleri yaşadıkça 'neredeyse oluyordu, şansım dönmek üzere' hissine kapılır ve masada kalmaya devam eder. Sistem bu beklentiyi mahsus yaratır — birazdan vereceği büyük tek kazançla bu hissi pekiştirip oyuncuyu kilitleyecek.
Modal;AnlaticiSeritKopru.cs;A4_S5_CARPAN;⚡ Ekrana ×100 çarpan düştü! Oyuncu az önce pes etmek üzereydi, şimdi büyük kazanç. Bu rastlantı değil: algoritma oyuncuyu tam bu duygusal anda yakaladı. 'Şansım döndü' diyecek. Aslında manipülasyon başarılı oldu.
Modal;AnlaticiSeritKopru.cs;A4_S5_CEKIM;"İşte bu noktada gerçek hayatta oyuncunun aklına şu gelir: 'Şu an kazançtayım, parayı çekip çıkayım.' Mantıklı düşünce. Ama kumar siteleri bunun olmasına izin vermez.

Çekim şartı tuzağı: Site, oyuncunun kazandığı parayı çekebilmesi için bir ""çevrim şartı"" koyar. Bu şart genelde iki şekilde olur:

- Bahis çevrim şartı: Oyuncu, kazandığı paranın belirli bir katı kadar tutarda bahis atmadan parasını çekemez.

- Spin sayısı şartı: Oyuncunun belirli bir spin sayısına ulaşması gerekir, örneğin 1000 spin atma şartı gibi. Bu sayıya ulaşmadan çekim yapmasına izin verilmez.

Sonuç değişmez: Oyuncu bu şartları tamamlamaya çalışırken sistem kazandığı parayı yavaş yavaş geri alır, üstüne kendi parasını da kaybeder. Çekim şartı sağlanamadan oyuncu zaten masada tüketilmiş olur.

Yani ""çekip çıkma"" seçeneği aslında yok — sadece var gibi görünür. Kumar sitesinin tek gerçek amacı oyuncuyu masada tutmaktır."
Modal;AnlaticiSeritKopru.cs;BASA_ARAYIS;"Oyuncu artık paranın bittiğini fark etti.

Şimdi başka yerden para bulma arayışında. Yalan söylemeye başlıyor: yakınlarına, akrabalarına, arkadaşlarına...

Bu, kumar bağımlılığının yıkıcı evresidir. Bir sonraki ekran o anı temsil ediyor."
Modal;AnlaticiSeritKopru.cs;DONGU;"Bakın, para tamamen bitti.

5 spin'de 50.000 TL borç eridi. Bu, gerçek hayatta 'hızlı kurtulma' bahanesiyle yatırılan paraların kaderidir.

Şimdi oyuncu A1'e geri dönmek isteyecek. 'Belki bu sefer şanslıyım' diye düşünüyor. 'Bir kerelik daha denersem...' diyerek kendini kandırıyor.

İşte bağımlılığın özü budur: KAYIP → BORÇ → KAYIP → BORÇ. Sonsuz döngü.

Sonraki ekranda yaşanan toplam kayıp gösteriliyor."
Spin modal (asset);ScriptedSenaryoAssetUreteci.cs;M_A1_S1;İlk kazanç oyuncu için en tehlikeli başlangıçtır. Oyuncunun beyni bu anı unutmayacak: saatlerce oyun başında kalmasının sebebi bu kısa anın hatırasıdır.
Spin modal (asset);ScriptedSenaryoAssetUreteci.cs;M_A1_S4;Oyuncu ilk kazançları yaşıyor. Oyuncunun beyninde dopamin salgılanıyor. Bu his, saatlerce oyun oynamasının yakıtı olacak.
Spin modal (asset);ScriptedSenaryoAssetUreteci.cs;M_A2_S2;"⚠️ DİKKAT: manipülasyon farkındalığı

Oyuncu az önce 1.000 TL bahis koydu, ekrana 'KAZANÇ 500 TL' yazdı, bakiyesinden 500 TL EKSİLDİ ama oyuncunun zihninde 'kazandım' hissi yaşanıyor.

Bu sistemin temel manipülasyonudur: her spinde bahisten az ödeme yaparken büyük yazıyla 'KAZANÇ' yazılır. Oyuncuda 'kazanıyorum' algısı yaratılır. Uzun vadede oyuncu daima kayıptadır. Algoritma bunu kasıtlı tasarlar: sürekli artıyormuş gibi göstererek oyuncuyu bağlamak için."
